TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
870,"(26.717042068693665, 24.19739482302087)","(36.17247894611225, 75.44256296940466)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.796991427602805, 68.9012588034564), (41.152756428493234, 75.1415420631403), (47.9751885592177, 72.02125653460259), (33.19599191810523, 76.31), (16.859221835195804, 88.49106415394492), (16.801448975577017, 95.99431429693522), (16.76465462919277, 103.4972745966534), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.534663456617615, 112.11397119601767), (82.29701463261696, 33.642672524391), (7.128182839124611, 30.291389482886096)]"
871,"(28.145767219587, 24.18498010780005)","(36.88255451806321, 75.41709754629956)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.1534986526007, 75.14120260191928), (47.97543393934963, 72.02114430833782), (33.2003785743928, 76.31), (16.859221835195804, 88.49106415394492), (16.80145788466255, 95.99315722945137), (16.764687195013035, 103.48790029267646), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (95.07182326128502, 33.49567120207527), (7.128182839124611, 30.291389482886096)]"
872,"(24.852024608927376, 22.475859976211247)","(33.459709185981495, 77.88290341078407)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.15389215577219, 75.14102263057946), (47.97543393934963, 72.02114430833782), (33.20087001635795, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764692502386662, 103.48637252726783), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (7.128182839124611, 30.291389482886096)]"
873,"(24.852015885690804, 22.475790301447912)","(33.459760791075524, 77.88284581560009)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.15389215577219, 75.14102263057946), (47.97543393934963, 72.02114430833782), (33.20162170776918, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (7.128305033497736, 30.291389313407077)]"
874,"(24.852020279661144, 22.475791198764423)","(33.45976787136425, 77.8828425773821)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.15389215577219, 75.14102263057946), (47.97555430425791, 72.02108925863205), (33.20162170776918, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (7.128305033497736, 30.291389313407077)]"
875,"(24.85202229302745, 22.47579156159606)","(33.459773991958826, 77.88283977808673)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20162170776918, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (7.128305033497736, 30.291389313407077)]"
876,"(25.359756313724873, 24.51317330693976)","(31.632357371427062, 75.24287022470352)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (8.880926357109553, 30.351855548361577), (-1.1864607911172795, 30.302921582234557)]"
877,"(25.02608849703837, 24.483746310482974)","(31.943915958024874, 75.25808236854947)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (12.24290287555156, 30.62878936371924), (1.0596172492013052, 30.29980635610374)]"
878,"(24.627310542757535, 24.37283134774372)","(32.38598626174417, 75.31606623608637)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (17.711585816974264, 31.675950550154056), (3.548199774726039, 30.29635478533325)]"
879,"(24.149080140095805, 24.217751215700947)","(33.02382773702296, 75.39896638172992)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (24.877443658516267, 33.17413831558464), (7.863488488202193, 30.290369641486542)]"
880,"(24.39400167122429, 25.623035212760655)","(32.041910200162114, 73.07602891985395)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (33.8165151954602, 33.56453467199048), (14.478272279042411, 30.860206308932717), (-1.1864607911172795, 30.302921582234557)]"
881,"(24.1919000304497, 25.44056115081268)","(33.100585189350134, 73.18307873828824)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (44.61986234751265, 33.61945143243582), (22.296665142492948, 32.84130695141449), (0.30662398795205004, 30.300850729559013)]"
882,"(24.171330204426322, 25.3740127659209)","(34.355520306525094, 73.22317057481399)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (55.24534231465793, 33.67346403887711), (31.785725220604256, 33.55421153741058), (4.0358511690197, 30.29567843111093)]"
883,"(24.743755083949544, 25.365832349715642)","(35.639577738331, 73.2281477524672)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (66.18710723723285, 33.71227846128896), (43.28663007192638, 33.61267419974433), (5.9902725994349515, 30.292967721776094)]"
884,"(25.792730519638653, 25.364785548338965)","(36.83851574819144, 73.22878672629646)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (76.49743819931557, 33.66773070389158), (54.720921166071136, 33.670798243713435), (7.025472730555808, 30.291531937960393)]"
885,"(27.271558693805233, 25.366321051188873)","(37.958095455508904, 73.22785871119846)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (87.05327576761533, 33.605114525464764), (65.3474115743547, 33.71590652704312), (7.115159193004282, 30.291407546195554)]"
886,"(26.16861377546395, 24.16729546381992)","(35.85727902579207, 75.42641586994029)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (76.61965976933926, 33.66720262221601), (7.123395575223092, 30.291396122641853)]"
887,"(27.495611400795237, 24.177063836363217)","(36.57526144677708, 75.42108143235541)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (89.5388918089704, 33.57118891980477), (7.12784711332213, 30.29138994852521)]"
888,"(24.852031377907327, 22.47579153620883)","(33.45977257895436, 77.88283978937098)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79708343703314, 68.90121672232046), (41.153996205880034, 75.14097504255813), (47.97555430425791, 72.02108925863205), (33.20173599766171, 76.31), (16.859221835195804, 88.49106415394492), (16.80146572998489, 95.99213831821224), (16.764695903200828, 103.48539357861912), (13.562093915659604, 104.22183626593666), (16.73560193644687, 111.86029972279479), (13.535707378203739, 111.81362004252411), (7.128166722529211, 30.29138950523921)]"
