TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates
1560,"(19.459795603109715, 29.44124636516239)","(38.67053871153417, 59.761798886621584)"
1561,"(19.84594046230996, 30.723546497699655)","(38.5340496407027, 62.61181899500616)"
1562,"(20.33380041059784, 29.509095500956967)","(40.1601453058511, 60.76704710512863)"
1568,"(21.243884812212272, 23.41426233608664)","(49.306620930131395, 53.645326820347194)"
1569,"(21.870576680791117, 21.51054786637184)","(51.4992830003126, 51.96993330531576)"
1570,"(19.268296729965662, 19.853233141680565)","(50.5932771666561, 51.11428636849102)"
1571,"(19.488587914820375, 18.48447614275233)","(52.71039826466114, 49.48901151270517)"
1572,"(20.551613488299182, 16.725844005248067)","(54.95292797777894, 47.55615818013158)"
1573,"(17.968834078366474, 15.851600262740485)","(53.86765458077426, 46.54277267202847)"
1574,"(17.680117905190368, 15.243675590610476)","(56.418681497805764, 45.35692937643138)"
1575,"(13.75337457117328, 15.050021842109398)","(56.02812466955063, 45.41746526989568)"
1576,"(12.356156035748068, 13.965153563988611)","(59.01808968824806, 44.80229687975007)"
1577,"(12.45139238751681, 13.185660600470138)","(62.228255928758905, 44.38512466231281)"
1578,"(13.637436286746553, 12.719001073357187)","(65.85132132509507, 44.139639543860056)"
1579,"(15.727239086810544, 12.60297224247473)","(70.08546049202018, 44.04083109143719)"
1580,"(10.677625954460934, 13.109119531515958)","(68.32661575078856, 45.99662628767014)"
1581,"(12.642504420839002, 13.122009665024922)","(73.2728843554114, 45.960402601249825)"
1582,"(8.365515827488746, 13.361580443119117)","(71.96713161281446, 49.044546840521775)"
